ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
3397259,06/23/2004 11:30:00 PM,THEFT,$500 AND UNDER,False,False,2413.0,24.0,50.0,41.992195041,-87.698736356
3393503,06/23/2004 12:00:00 AM,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",False,False,311.0,3.0,20.0,41.785101667,-87.623837769
3395687,06/23/2004 12:15:29 AM,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,False,False,411.0,4.0,8.0,41.757630995,-87.585708249
3399123,06/24/2004 01:40:00 PM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,2513.0,25.0,29.0,41.91165248,-87.776514093
3398877,06/24/2004 02:00:00 AM,THEFT,$500 AND UNDER,False,False,1311.0,12.0,26.0,41.90177237,-87.698100718
3400224,06/24/2004 02:18:00 PM,CRIMINAL DAMAGE,TO PROPERTY,False,False,2413.0,24.0,40.0,41.99355232,-87.682367785
3404087,06/24/2004 03:00:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,True,False,612.0,6.0,21.0,41.750403985,-87.660064278
3410333,06/24/2004 03:30:00 PM,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,False,False,234.0,2.0,3.0,41.798011899,-87.616063534
3402348,06/24/2004 04:45:00 PM,THEFT,$500 AND UNDER,False,True,715.0,7.0,15.0,41.79329893,-87.66456619
3398299,06/24/2004 05:00:00 AM,BURGLARY,UNLAWFUL ENTRY,False,False,2535.0,25.0,26.0,41.912357372,-87.71784241
3397530,06/24/2004 05:00:00 PM,CRIMINAL DAMAGE,TO PROPERTY,False,False,914.0,9.0,12.0,41.815786391,-87.675161453
3398760,06/24/2004 06:00:00 PM,THEFT,OVER $500,False,False,1632.0,16.0,38.0,41.949541101,-87.807155477
3430579,06/24/2004 06:15:00 PM,PROSTITUTION,SOLICIT ON PUBLIC WAY,True,False,422.0,4.0,7.0,41.749873967,-87.552860394
3430615,06/24/2004 06:30:00 PM,PROSTITUTION,SOLICIT FOR BUSINESS,True,False,422.0,4.0,7.0,41.749873967,-87.552860394
3395964,06/24/2004 07:00:00 AM,THEFT,$500 AND UNDER,False,False,1223.0,12.0,25.0,41.859290468,-87.673592243
3430562,06/24/2004 07:00:00 PM,PROSTITUTION,SOLICIT ON PUBLIC WAY,True,False,422.0,4.0,7.0,41.749873967,-87.552860394
3400979,06/24/2004 07:10:00 PM,BATTERY,SIMPLE,True,False,825.0,8.0,15.0,41.782313698,-87.683724183
3397656,06/24/2004 07:15:00 AM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,False,False,1633.0,16.0,38.0,41.945740202,-87.779694941
3436890,06/24/2004 07:25:00 PM,PROSTITUTION,SOLICIT FOR BUSINESS,True,False,422.0,4.0,7.0,41.749873967,-87.552860394
3401182,06/24/2004 08:00:00 PM,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,True,False,234.0,2.0,3.0,41.798011899,-87.616063534
3444848,06/24/2004 08:00:00 AM,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,True,False,631.0,6.0,8.0,41.745597247,-87.598900499
3430605,06/24/2004 08:02:00 PM,PROSTITUTION,SOLICIT FOR BUSINESS,True,False,422.0,4.0,7.0,41.749873967,-87.552860394
3404457,06/24/2004 08:35:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,True,False,312.0,3.0,20.0,41.778035296,-87.611967331
5366271,06/24/2004 09:00:00 AM,DECEPTIVE PRACTICE,FORGERY,False,True,1322.0,12.0,1.0,,
3410365,06/24/2004 09:23:17 AM,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,True,False,1021.0,10.0,24.0,41.859008163,-87.712036658
